City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,lardjem,35.748,1.5481,29.8,27,4,1.67,DZ,1687240071
301,guymon,36.6828,-101.4816,22.0,78,0,3.6,US,1687240071
302,howard springs,-12.497,131.047,31.95,33,36,1.5,AU,1687240071
303,minas de marcona,-15.2119,-75.1103,12.67,88,60,4.51,PE,1687239929
304,anadyr,64.75,177.4833,23.28,33,0,2.0,RU,1687240072
305,songea,-10.6833,35.65,13.64,88,20,1.03,TZ,1687239929
306,onega,63.9061,38.1404,8.94,47,2,4.11,RU,1687240072
307,nagqu,31.5,92.0,14.82,24,56,5.69,CN,1687240072
308,east london,-33.0153,27.9116,12.52,47,0,7.2,ZA,1687240072
309,andergrove,-21.0833,149.1833,25.36,76,1,4.56,AU,1687240072
310,colares,38.7992,-9.4469,17.96,93,31,7.15,PT,1687240073
311,pocahontas,36.2615,-90.9712,23.93,85,0,1.54,US,1687239930
312,yamada,39.4667,141.95,20.62,66,48,2.54,JP,1687239930
313,quellon,-43.1167,-73.6167,-1.86,100,0,0.0,CL,1687239931
314,karungdong,5.8844,121.263,25.93,87,100,4.72,PH,1687239931
315,perry,37.2506,-83.1999,21.1,96,50,1.44,US,1687239931
316,vila franca do campo,37.7167,-25.4333,18.23,83,78,1.65,PT,1687240073
317,lerwick,60.1545,-1.1494,13.0,93,29,4.95,GB,1687240073
318,lazaro cardenas,17.9583,-102.2,27.82,78,1,1.31,MX,1687240074
319,santa cruz,-17.8,-63.1667,16.7,88,1,4.12,BO,1687240074
320,kupang,-10.1667,123.5833,32.32,48,20,6.69,ID,1687240074
321,illizi,26.4833,8.4667,28.89,15,1,7.4,DZ,1687240074
322,thoen,17.6129,99.2161,32.86,51,92,1.79,TH,1687240074
323,baiti,13.745,-14.7482,27.87,77,76,1.32,SN,1687240074
324,kapuskasing,49.4169,-82.4331,20.05,68,0,1.54,CA,1687240074
325,cockburn town,21.4612,-71.1419,28.27,77,85,9.18,TC,1687240075
326,xiantao,30.3833,113.4,31.85,56,26,1.95,CN,1687240075
327,nampula,-15.1165,39.2666,20.97,88,40,0.0,MZ,1687240075
328,as sulayyil,20.4607,45.5779,33.14,11,66,3.12,SA,1687240075
329,jalai nur,49.45,117.7,28.54,15,1,8.68,CN,1687240075
330,ta`u,-14.2336,-169.5144,27.07,77,11,2.91,AS,1687240075
331,kanker,20.2719,81.4931,39.82,26,64,3.4,IN,1687240075
332,riohacha,11.5444,-72.9072,27.11,77,99,3.2,CO,1687240076
333,nueva gerona,21.8833,-82.8,28.32,67,0,2.77,CU,1687239933
334,freetown,8.484,-13.2299,25.58,85,42,2.67,SL,1687240076
335,ubinskoye,55.3068,79.6802,17.2,45,33,10.99,RU,1687240076
336,duong dong,10.2167,103.9667,32.0,74,20,4.63,VN,1687239934
337,vershino-darasunskiy,52.35,115.5167,24.33,17,0,5.89,RU,1687240076
338,greymouth,-42.4667,171.2,11.42,83,41,1.93,NZ,1687240076
339,argo,37.6333,22.7333,24.88,50,0,1.5,GR,1687240077
340,kharp,66.8014,65.8081,6.98,68,86,3.0,RU,1687240077
341,boyolangu,-8.1181,111.8935,29.52,63,24,2.58,ID,1687240077
342,susuman,62.7833,148.1667,24.7,20,36,1.4,RU,1687240077
343,paramirim,-13.4425,-42.2389,18.19,85,38,3.54,BR,1687240077
344,haiku-pauwela,20.9219,-156.3051,25.01,70,40,6.69,US,1687239935
345,salalah,17.0151,54.0924,29.05,94,100,2.06,OM,1687240077
346,horta,38.5333,-28.6333,17.79,95,96,1.34,PT,1687239935
347,kavieng,-2.5744,150.7967,28.48,76,70,5.11,PG,1687240078
348,fale old settlement,-9.3852,-171.2468,28.35,68,28,4.42,TK,1687240078
349,marka,1.7159,44.7717,27.62,71,78,7.67,SO,1687240078
